Species_Latin,match.IOC,synonyms,Species_Common,Treename,Family,PassNonPass,Passerine_Clade1,Passerine_OscineSuboscine,Order,SearcherID,Evidence_Type,Evidence_Details,Female_Territoriality,Territorial_Period,Territory_Classification,Justification_Summary,References,Other_Notes,Territory_ClassificationYL,Territory_ClassificationEW,IT_project_classification_from_BNA,JPD_notes,PigotTobias_Territoriality,TerritoryType,Territory.Min,Territory.Max
Calcarius pictus,34223,Calcarius pictus,Smith's Longspur,Calcarius_pictus,Calcariidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,1,,weak,1,1,1
Emberiza spodocephala,34356,Emberiza spodocephala;Schoeniclus spodocephala,Black-faced Bunting,Emberiza_spodocephala,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Pyrenestes ostrinus,32726,Pyrenestes ostrinus,Black-bellied Seedcracker,Pyrenestes_ostrinus,Estrildidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Coccothraustes vespertinus,33526,Hesperiphona vespertina;Coccothraustes vespertinus,Evening Grosbeak,Coccothraustes_vespertinus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Rhodopechys obsoletus,NA,#VALUE!,Desert Finch,Rhodopechys_obsoletus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Loxops coccineus,33766,Loxops coccineus;Loxops coccinea ,Akepa,Loxops_coccineus,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Leucosticte tephrocotis,33626,Leucosticte tephrocotis,Gray-crowned Rosy-finch,Leucosticte_tephrocotis,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Euphonia hirundinacea,34144,Euphonia hirundinacea,Yellow-throated Euphonia,Euphonia_hirundinacea,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Carpodacus rubicilloides,33647,Carpodacus rubicilloides,Streaked Rosefinch,Carpodacus_rubicilloides,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Carpodacus rubicilla,33650,Carpodacus rubicilla,Great Rosefinch,Carpodacus_rubicilla,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Carpodacus eos,33667,Carpodacus eos;              ,Pink-rumped Rosefinch,Carpodacus_eos,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Loxia curvirostra,33987,Loxia curvirostra,Red Crossbill,Loxia_curvirostra,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,1,"disagreement; JPD note: BNA says 'little evidence for territories', but I agree that this could be classified as 3 (more consistent with notes in EW spreadsheet)",none,1,1,1
Loxia leucoptera,34012,Loxia leucoptera,White-winged Crossbill,Loxia_leucoptera,Fringillidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,1,disagreement,none,1,1,1
Pseudoleistes virescens,35445,Pseudoleistes virescens,Brown-and-yellow Marshbird,Pseudoleistes_virescens,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,weak,1,1,1
Molothrus rufoaxillaris,35327,Molothrus rufoaxillaris,Screaming Cowbird,Molothrus_rufoaxillaris,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,,1,1,1
Molothrus oryzivorus,35328,Molothrus oryzivorus;Scaphidura oryzivora,Giant Cowbird,Molothrus_oryzivorus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,,1,1,1
Molothrus armenti,35343,Molothrus armenti,Bronze-brown Cowbird,Molothrus_armenti,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,,,,1,1,1
Quiscalus major,35383,Quiscalus major,Boat-tailed Grackle,Quiscalus_major,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,4,1,disagreement: BNA indicates 'non-territorial',none,1,1,1
Ammodramus caudacutus,34569,Ammodramus caudacutus;Ammospiza caudacuta  ,Saltmarsh Sparrow,Ammodramus_caudacutus,Passerellidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,1,1,,weak,1,1,1
Molothrus bonariensis,35331,Molothrus bonariensis,Shiny Cowbird,Molothrus_bonariensis,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,2,,,,2,2,2
Molothrus aeneus,35339,Molothrus aeneus,Bronzed Cowbird,Molothrus_aeneus,Icteridae,Passeriformes,Passerida,Oscine,Passeriformes,YL,,,,,,,,,2,,2,,,2,2,2
Nectarinia rufipennis,31953,Cinnyris rufipennis;Cyanomitra rufipennis;Nectarinia rufipennis,Rufous-winged Sunbird,Nectarinia_rufipennis,Nectariniidae,Passeriformes,Passerida,Oscine,Passeriformes,EW & YL,,,,,,,,,2,5,,disagreement: JPD agrees with YL here; lekking more relevant to breeding territory than feeding,weak,2,2,2
Emberiza hortulana,34281,Emberiza hortulana,Ortolan Bunting,Emberiza_hortulana,Emberizidae,Passeriformes,Passerida,Oscine,Passeriformes,EW,,,,,,,,,,3,,,weak,3,3,3
