Species,SpeciesID,Family,PassNonPass,Passerine_Clade1,Passerine_OscineSuboscine,Order,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity,Territoriality_Ours,PigotTobias2019
Accipiter_albogularis,Accipiter_albogularis,Accipitridae,Nonpasseriformes,,,Accipitriformes,LC,0,10.53106101,5.516448376,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.562341325,2.587764035,NA,1
Accipiter_badius,Accipiter_badius,Accipitridae,Nonpasseriformes,,,Accipitriformes,LC,0,16.92441788,4.876341706,Vertebrates,AerialSallying,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.098612289,1.145202037,4.646312129,NA,1
Accipiter_bicolor,Accipiter_bicolor,Accipitridae,Nonpasseriformes,,,Accipitriformes,LC,0,16.42860578,5.661361981,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.050969125,3.020424886,NA,1
Accipiter_brachyurus,Accipiter_brachyurus,Accipitridae,Nonpasseriformes,,,Accipitriformes,VU,1,9.873672467,4.955827058,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.547722558,1.029619417,NA,1
Accipiter_brevipes,Accipiter_brevipes,Accipitridae,Nonpasseriformes,,,Accipitriformes,LC,0,14.89244715,5.228323995,Vertebrates,AerialSallying,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.386294361,1.252373233,3.956996371,NA,1
Accipiter_butleri,Accipiter_butleri,Accipitridae,Nonpasseriformes,,,Accipitriformes,VU,1,5.792403666,5.807962294,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,Yes,0.754695306,0.979370361,4.384523515,NA,1
Accipiter_castanilius,Accipiter_castanilius,Accipitridae,Nonpasseriformes,,,Accipitriformes,LC,0,14.55570081,5.059488948,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.89790076,3.411147713,NA,1
Accipiter_chilensis,Accipiter_chilensis,Accipitridae,Nonpasseriformes,,,Accipitriformes,NE,0,13.4125936,5.908082938,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.979370361,2.995732274,NA,1
Accipiter_chionogaster,Accipiter_chionogaster,Accipitridae,Nonpasseriformes,,,Accipitriformes,NE,0,11.84414751,5.807962294,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.754695306,1.215105883,4.582924577,NA,1
Accipiter_cirrocephalus,Accipiter_cirrocephalus,Accipitridae,Nonpasseriformes,,,Accipitriformes,LC,0,15.51819192,5.110359958,Vertebrates,AerialScreaning,PartiallyMigratory,NonCooperative,ExposedElevated,strong,Terrestrial,No,1.252762968,0.800195241,1.757857918,NA,1
Accipiter_collaris,Accipiter_collaris,Accipitridae,Nonpasseriformes,,,Accipitriformes,NT,0,12.44222403,5.807962294,Vertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,1.057371263,3.735285827,NA,1
Accipiter_cooperii,Accipiter_cooperii,Accipitridae,Nonpasseriformes,,,Accipitriformes,LC,0,15.94277066,6.063017472,Vertebrates,AerialScreaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,1.474739407,3.520460802,NA,1
Accipiter_erythrauchen,Accipiter_erythrauchen,Accipitridae,Nonpasseriformes,,,Accipitriformes,NT,0,10.78208265,5.049856007,Vertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.754695306,0.651355562,3.430756184,NA,1
